Year,Name,College,POS,Height (in),Weight (lbs),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
2012,Emmanuel Acho,Texas,OLB,73,238,,4.73,24,35,118
2012,Joe Adams,Arkansas,WR,71,179,,4.55,,36,123,,7.09
2012,Mike Adams,Ohio State,OT,79,323,,5.4,19,28,100,4.95,7.94
2012,Chas Alecxih,Pittsburgh,DT,76,296,,5.41,19,25,99,4.62,7.74
2012,Frank Alexander,Oklahoma,DE,75,270
2012,Dwayne Allen,Clemson,TE,75,255,,4.89,27,32,110,4.37,7.12
2012,Jeff Allen,Illinois,OT,76,307,,5.28,26,27,102,4.9,8.01
2012,Justin Anderson,Georgia,OT,76,335,,5.31,32,27,101,4.99,8.04
2012,Mark Asper,Oregon,OG,78,319,,,23
2012,Edwin Baker,Michigan State,RB,68,204,,4.53,20,35,111,4.31,7.27
2012,Ryan Baker,LSU,OLB,71,232,,4.88,30,34,113,4.35,7.21
2012,Mike Ball,Nevada,RB,69,206,,4.65,21,36,112,4.23,7.1
2012,Vick Ballard,Mississippi State,RB,70,219,,4.65,23,33,115,4.19,7.03
2012,Kelvin Beachum,Southern Methodist,OG,74,303,,5.44,19,28,101,4.8,7.79
2012,Tim Benford,Tennessee Tech,WR,71,205,,4.59,15
2012,Travis Benjamin,Miami,WR,69,172,,4.36,14,38,119
2012,Jake Bequette,Arkansas,DE,76,274,,4.82,,34,113,4.07,6.9
2012,Tony Bergstrom,Utah,OT,77,313,,5.27,32,29,101,4.84,7.95
2012,Justin Blackmon,Oklahoma State,WR,73,207,,,14
2012,Philip Blake,Baylor,C,74,311,,5.25,22,29,105,4.65,7.86
2012,Jamie Blatnick,Oklahoma State,DE,75,263,,4.9,28,32,112,4,7.22
2012,Brandon Bolden,Mississippi,RB,71,222,,4.66,21,38,119,4.44,6.96
2012,Jarrett Boykin,Virginia Tech,WR,74,217,,4.72,11,36,123,4.28,7.12
2012,Nigel Bradham,Florida State,OLB,74,241,,4.64,24,37,121,4.37,7.18
2012,Andre Branch,Clemson,DE,76,259,,4.7,,32,120,4,7.19
2012,LaVon Brazill,Ohio,WR,71,192,,4.48,11,32
2012,Michael Brewster,Ohio State,C,74,312,,5.35,29,25,96,4.6,7.73
2012,Michael Brockers,LSU,DT,78,322,,5.36,19,26,105,4.81,7.46
2012,James Brown,Troy,OT,75,306,,5.3,24,25,102,4.78,7.7
2012,Zach Brown,North Carolina,OLB,73,244,,4.5,,33,116
2012,Ryan Broyles,Oklahoma,WR,70,192,,,21
2012,Vontaze Burfict,Arizona State,ILB,73,248,,5.09,,30
2012,Miles Burris,San Diego State,OLB,74,246,,,31,37,121
2012,Tank Carder,TCU,OLB,74,236,,4.69,19,34,121,4.18,6.89
2012,Josh Chapman,Alabama,DT,73,316
2012,Orson Charles,Georgia,TE,74,251,,,35
2012,Greg Childs,Arkansas,WR,75,219,,4.55,19,36,125
2012,Danny Coale,Virginia Tech,WR,72,201,,4.5,12,35,115,4.15,6.69
2012,Audie Cole,North Carolina State,ILB,76,246,,4.81,15,35,78,4.29,6.96
2012,B.J. Coleman,Tennessee-Chattanooga,QB,75,233,,,,,109,4.38,7.07
2012,Tom Compton,South Dakota,OT,77,314,,5.11,20,30,108,4.6,7.59
2012,Josh Cooper,Oklahoma State,WR,71,190,,,11
2012,Quinton Coples,North Carolina,DE,78,284,,4.78,25,31,109,4,7.57
2012,Paul Cornick,North Dakota State,OT,77,310,,,25
2012,Aaron Corp,Richmond,QB,76,215,,4.72,,31.5,106,4.3,7.03
2012,Kirk Cousins,Michigan State,QB,75,214,,4.93,,28.5,109,4.5,7.05
2012,Fletcher Cox,Mississippi State,DT,76,298,,4.79,30,26,103,4.53,7.07
2012,Jack Crawford,Penn State,DE,77,274,,4.85,,33,116,4.25,7.15
2012,Tyrone Crawford,Boise State,DE,76,285,,4.89,28,33,113,4.44,7.09
2012,Lennon Creer,Louisiana Tech,RB,71,219,,4.71,21,33,110,4.4,7.26
2012,Jared Crick,Nebraska,DE,76,279,,4.99,,31,104,4.4,7.47
2012,Juron Criner,Arizona,WR,74,224,,4.68,17,38,117,4.3,7.15
2012,John Cullen,Utah,OT,76,297,,5.34,23,27,102,4.59,7.58
2012,B.J. Cunningham,Michigan State,WR,73,211,,4.59,12,31,116,,7.1
2012,Vinny Curry,Marshall,DE,75,266,,4.98,,32,110,4.4,6.9
2012,Mike Daniels,Iowa,DT,72,291
2012,Andrew Datko,Florida State,OT,78,315,,5.32,,29,100,4.54,7.71
2012,Lavonte David,Nebraska,OLB,72,233,,4.65,19,36,119,4.22,7.28
2012,Austin Davis,Southern Miss,QB,73,219,,,,31,109,4.11,6.73
2012,Demario Davis,Arkansas State,OLB,74,235,,4.61,32,38,124,4.28,7.19
2012,David DeCastro,Stanford,OG,77,316,,5.43,34,29,98,4.56,7.3
2012,Taylor Dever,Notre Dame,OT,77,298,,5.46,18,28,100,4.9,7.49
2012,Patrick Edwards,Houston,WR,69,172
2012,Michael Egnew,Missouri,TE,77,252,,4.62,21,36,131,4.32,7.03
2012,Rhett Ellison,Southern Cal,TE,77,251,,4.88,,31,109
2012,Hebron Fangupo,BYU,DT,73,323,,5.18,36,31,99,4.62,7.94
2012,Coby Fleener,Stanford,TE,78,247,,,27
2012,Darius Fleming,Notre Dame,OLB,73,245,,4.77,27,33,114,4.28,7.03
2012,Michael Floyd,Notre Dame,WR,75,220,,4.47,16,36,122
2012,Nick Foles,Arizona,QB,77,243,,5.14,,30.5,112
2012,Marcus Forston,Miami,DT,73,301,,5.17,35,28,105,4.79,7.64
2012,Justin Francis,Rutgers,DE,74,268,,,23,32,109,4.35,7.05
2012,Jeff Fuller,Texas A&M,WR,75,223,,,17
2012,Chris Galippo,Southern Cal,ILB,73,241,,4.87,19,29,,4.1,6.9
2012,Terrance Ganaway,Baylor,RB,71,239,,4.67,,37,119,4.25,7.15
2012,Garth Gerhart,Arizona State,C,73,305,,5.42,25,30,96,4.65,7.63
2012,Adam Gettis,Iowa,OG,74,293,,5,,31,112,4.65,7.99
2012,Chris Givens,Wake Forest,WR,71,198,,4.41,19,33,118,4.23,6.97
2012,Cordy Glenn,Georgia,OG,77,345,,5.15,31,23,93,5,8.13
2012,Najee Good,West Virginia,ILB,72,244,,4.64,,35
2012,T.J. Graham,North Carolina State,WR,71,188,,4.41,8,33,120,4.18,6.77
2012,Cyrus Gray,Texas A&M,RB,70,206,,4.47,21,32,114,,7.17
2012,Jonas Gray,Notre Dame,RB,70,223,,,20
2012,Ladarius Green,Louisiana-Lafayette,TE,78,238,,4.53,16,34,124,4.47,7.12
2012,A.J. Greene,Auburn,OT,77,298
2012,Robert Griffin,Baylor,QB,74,223,,4.41,,39,120
2012,Trevor Guyton,California,DE,75,285,,5.07,,31,105,4.53,7.45
2012,Dominique Hamilton,Missouri,DT,77,313,,5.54,31,,,4.78,7.82
2012,Jewel Hampton,Southern Illinois,RB,69,218,,,26
2012,Darius Hanks,Alabama,WR,72,184,,4.66,11,34,117
2012,James Hanna,Oklahoma,TE,76,252,,4.49,24,36,122,4.11,6.76
2012,Tyler Hansen,Colorado,QB,72,222,,4.78,,,113
2012,Cory Harkey,UCLA,TE,76,260,,5.11,13,26,109,4.69,7.4
2012,Chandler Harnish,Northern Illinois,QB,73,219,,4.76,,32.5,112,4.15,6.78
2012,DaJohn Harris,Southern Cal,DT,75,306
2012,Jacory Harris,Miami,QB,75,203,,4.72,,37,113,4.4,7.1
2012,Junior Hemingway,Michigan,WR,73,225,,4.53,21,35,124,3.98,6.59
2012,Dan Herron,Ohio State,RB,70,213,,4.66,22,35,117,4.04,6.97
2012,Akiem Hicks,Regina,DT,77,318,,5.23,26,31,108,4.86,7.75
2012,Dont'a Hightower,Alabama,ILB,74,265,,4.68,,32
2012,Stephen Hill,Georgia Tech,WR,76,215,,4.36,14,39,133,4.48,6.88
2012,Ronnie Hillman,San Diego State,RB,69,200,,4.45,17,37
2012,T.Y. Hilton,Florida International,WR,70,183
2012,Lamar Holmes,Southern Miss,OT,77,323,,5.41,22,27,104,4.8,7.74
2012,Jaye Howard,Florida,DT,75,301,,4.82,24,27,106,4.47,7.32
2012,John Hughes,Cincinnati,DT,74,309,,,28
2012,Melvin Ingram,South Carolina,OLB,73,264,,4.79,28,34,109,4.18,6.83
2012,Bruce Irvin,West Virginia,OLB,74,245,,4.5,23,33,123,4.03,6.7
2012,Jerrell Jackson,Missouri,WR,72,196,,4.62,22,41,127,4.11,6.82
2012,Malik Jackson,Tennessee,DE,77,284,,4.91,25,28,105,4.41,7.38
2012,LaMichael James,Oregon,RB,68,194,,4.45,15,35,123,4.12,6.88
2012,Jamaar Jarrett,Arizona State,DE,77,265,,5.02,21,30,114,4.34
2012,Jordan Jefferson,LSU,QB,75,223,,4.65,14,36.5,116,4.06,6.81
2012,Alshon Jeffery,South Carolina,WR,75,216
2012,A.J. Jenkins,Illinois,WR,72,190,,4.39,12,38,124
2012,Cam Johnson,Virginia,DE,75,268,,4.81,,35,105,4.38,7.2
2012,James-Michael Johnson,Nevada,ILB,73,241,,4.68,23,37,88,4.37,7.34
2012,Rishaw Johnson,California (PA),OG,75,313,,5.24,22,31,108,4.53,7.87
2012,Steven Johnson,Kansas,OLB,72,239,,,16
2012,Ben Jones,Georgia,C,74,303,,5.44,29,30,105,4.74,7.95
2012,Chandler Jones,Syracuse,DE,77,266,,4.87,22,35,120,4.38,7.07
2012,Dwight Jones,North Carolina,WR,75,230,,4.55,14,33,109
2012,Marcel Jones,Nebraska,OT,78,320,,5.67,13,27,95,5.12,8.03
2012,Marvin Jones,California,WR,74,199,,4.46,22,33,112,4.11,6.81
2012,Josh Kaddu,Oregon,OLB,75,239,,,20,34,119
2012,Matt Kalil,Southern Cal,OT,78,306,,4.99,30,27,,4.65,7.33
2012,Jermaine Kearse,Washington,WR,72,209,,4.58,14,34,119,4.12,7.03
2012,Case Keenum,Houston,QB,73,208,,4.82,,32.5,103
2012,Senio Kelemete,Washington,OG,75,307,,5.52,21,25,101,4.58,7.77
2012,Mychal Kendricks,California,ILB,71,240,,4.47,24,39,,4.19
2012,Peter Konz,Wisconsin,C,77,314,,,18
2012,Luke Kuechly,Boston College,ILB,74,242,,4.58,27,38,74,4.12,6.92
2012,Markus Kuhn,North Carolina State,DT,76,299,,4.89,28,34,112,4.41,7.43
2012,Ronald Leary,Memphis,OG,75,315,,5.36,30,29,104,4.91,7.87
2012,Josh LeRibeus,Southern Methodist,OG,75,312,,5.37,29,26,96,4.65,7.64
2012,Ronnell Lewis,Oklahoma,OLB,74,253,,4.68,36,31,112,4.4,7.09
2012,Travis Lewis,Oklahoma,OLB,73,246,,4.88,22,36,122
2012,Ryan Lindley,San Diego State,QB,76,229,,4.9,,29.5,108,4.45,7.52
2012,Brandon Lindsey,Pittsburgh,OLB,74,254,,4.93,23,33,117,4.28,7.36
2012,Kentrell Lockett,Mississippi,DE,77,243
2012,Shawn Loiseau,Merrimack,ILB,72,244,,4.85,19,32
2012,Joe Looney,Wake Forest,OG,75,309,,,26
2012,Andrew Luck,Stanford,QB,76,234,,4.67,,36,124,4.28,6.8
2012,Terrell Manning,North Carolina State,OLB,74,237,,4.79,22,32,114,4.43,7.18
2012,Brandon Marshall,Nevada,OLB,73,242,,4.81,28,30,108,4.09,7.05
2012,Doug Martin,Boise State,RB,69,223,,4.55,28,36,120,4.16,6.79
2012,Jonathan Martin,Stanford,OT,77,312
2012,Keshawn Martin,Michigan State,WR,71,188,,4.45,13,39,122,4.13,6.85
2012,Mike Martin,Michigan,DT,73,306,,4.88,36,33,113,4.25,7.19
2012,Jonathan Massaquoi,Troy,OLB,74,264,,4.89,20,33,120,4.53,7.38
2012,Bobby Massie,Mississippi,OT,78,316,,5.23,22,27,103,4.95,7.7
2012,Rishard Matthews,Nevada,WR,72,217,,4.62,20,36,,4.19,6.88
2012,Marquis Maze,Alabama,WR,68,186,,4.51,,33,112
2012,Matt McCants,UAB,OT,78,308,,5.52,17,25,97
2012,Antoine McClain,Clemson,OG,78,329,,5.57,19,27,91,4.82,8.13
2012,Shea McClellin,Boise State,OLB,75,260,,4.63,19,31,118,4.33,7.07
2012,Marvin McNutt,Iowa,WR,74,216,,4.54,,37,122,4.07,7.15
2012,Caleb McSurdy,Montana,ILB,73,245,,4.97,26,30,90,4.28,7.26
2012,Vaughn Meatoga,Hawaii,DT,73,294,,5,27,30,108,4.21,7.1
2012,Davin Meggett,Maryland,RB,68,211,,4.53,23,35,118,4.32,7.14
2012,Whitney Mercilus,Illinois,DE,75,261,,4.68,27,32,118,4.53,7.17
2012,Lamar Miller,Miami,RB,71,212,,4.4,,33
2012,Ryan Miller,Colorado,OG,79,321,,5.27,32,28,100,4.78,7.72
2012,David Molk,Michigan,C,73,298,,,41
2012,Kashif Moore,Connecticut,WR,69,180,,4.42,19,43,126,4.05,6.82
2012,Kellen Moore,Boise State,QB,72,197,,4.94,,27,99,4.56,7.41
2012,Rennie Moore,Clemson,DT,75,268,,5.12,21,30,109,4.53
2012,Alfred Morris,Florida Atlantic,RB,70,219,,4.67,16,35,117,4.19,7.01
2012,Brandon Mosley,Auburn,OT,77,314,,5.21,30,27,103,4.78,7.43
2012,Derek Moye,Penn State,WR,76,209,,4.52,10,33,115,4.23
2012,Tyler Nielsen,Iowa,OLB,75,238,,4.74,21,,,4.31,7.27
2012,Lucas Nix,Pittsburgh,OG,77,317,,5.43,,29,102,4.9,7.81
2012,Josh Oglesby,Wisconsin,OT,79,338,,5.8,22,28
2012,Kelechi Osemele,Iowa State,OG,78,333,,5.36,32,26,104,4.87,7.91
2012,Brock Osweiler,Arizona State,QB,79,242
2012,Chris Owusu,Stanford,WR,71,196,,4.36,19,40,129,4.11,6.85
2012,Eric Page,Toledo,WR,69,186,,4.6,15,30,112,3.98,6.95
2012,Donte Paige-Moss,North Carolina,DE,75,268,,,26
2012,David Paulson,Oregon,TE,75,246,,4.93,21,32,110,4.4,7.18
2012,Isaiah Pead,Cincinnati,RB,70,197,,4.47,,33,116,4.32,6.95
2012,Nick Perry,Southern Cal,DE,75,271,,4.64,35,38,124,4,7.25
2012,DeAngelo Peterson,LSU,TE,75,243,,4.76,18,36,121,,7.19
2012,Bernard Pierce,Temple,RB,72,218,,4.49,17,36,123,4.28,7.07
2012,Dontari Poe,Memphis,DT,76,346,,4.98,44,29,105,4.56,7.9
2012,Chris Polk,Washington,RB,71,215,,4.57,,31,111,4.21,7.13
2012,Tauren Poole,Tennessee,RB,70,205,,4.54,24,34,118,4.19,7.36
2012,DeVier Posey,Ohio State,WR,74,211,,4.5,14,36,123,4.15,7.03
2012,Nate Potter,Boise State,OT,78,303,,5.36,22,28,100,4.67,7.49
2012,Tydreke Powell,North Carolina,DT,74,311,,5.36,29,28,99,4.62,7.31
2012,Nick Provo,Syracuse,TE,75,237
2012,Brian Quick,Appalachian State,WR,76,220,,4.55,15,34,119,4.23,7.1
2012,Chris Rainey,Florida,RB,68,180,,4.45,16,36,120,3.93,6.5
2012,Kheeston Randall,Texas,DT,76,293,,5,28,34,111,4.84,7.49
2012,Rueben Randle,LSU,WR,75,210,,4.55,15,31,121,4.36,6.99
2012,Riley Reiff,Iowa,OT,78,313,,5.23,23,26,98,4.75,7.87
2012,Beau Reliford,Florida State,TE,77,256
2012,Kendall Reyes,Connecticut,DT,76,299,,4.95,36,34,113,4.53,7.43
2012,Matt Reynolds,BYU,OT,76,302,,5.37,25
2012,Trent Richardson,Alabama,RB,69,228
2012,Travian Robertson,South Carolina,DT,76,302,,5.32,30,26,102
2012,Gerell Robinson,Arizona State,WR,75,227,,4.62,,35,113,4.15
2012,Keenan Robinson,Texas,OLB,75,242,,4.79,27,35,120
2012,James Rodgers,Oregon State,WR,67,184,,4.67,19,37,115,4.23
2012,Brett Roy,Nevada,DT,75,275,,5.07,32,30,108,4.62,7.31
2012,Zebrie Sanders,Florida State,OT,77,320,,5.41,28,27,100,4.99,8.15
2012,Mohamed Sanu,Rutgers,WR,74,211,,4.67,19,36,126,4.22,6.88
2012,Quentin Saulsberry,Mississippi State,C,74,304,,5.38,26,22,90,4.99,8.19
2012,Mitchell Schwartz,California,OT,77,318,,5.45,23,26,89,4.87,7.86
2012,Darrell Scott,South Florida,RB,72,231,,4.73,,31
